Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Podiceps_nigricollis,317,39.6,15,368.5,Podiceps_nigricollis,13.2806594,41.90542443,7.325719452,26.54291687,-10.98445511,Long Migrants
Birds,Fulmarus_glacialis,651,39.9,9,622.4,Fulmarus_glacialis,-4.4504046,62.70967504,-5.189231491,8.556152344,-17.60047302,Long Migrants
Birds,Oceanites_oceanicus,42.2,39.7,15,82.2,Oceanites_oceanicus,-15.45769974,-54.71925455,2.202235794,6.74125061,-2.411825943,Long Migrants
Birds,Puffinus_pacificus,367,39.3,23,400.6,Ardenna_pacifica,12.60371815,-0.78493273,24.5394455,27.654422,21.20118103,Short Migrants
Birds,Amazona_viridigenalis,341,41.1,26.5,344.2,Amazona_viridigenalis,-106.9864105,28.56249626,21.05428467,33.14730835,9.250307465,Resident
Birds,Bolborhynchus_lineola,55.7,40.4,28,107.1,Bolborhynchus_lineola,-82.27135888,5.47319845,17.66306,22.84020081,12.13597183,Resident
Birds,Cacatua_roseicapilla,271,39,22,240.9,Eolophus_roseicapilla,135.228629,-25.64981744,22.06378174,33.69759827,9.143170929,Resident
Birds,Cyanoramphus_auriceps,52.9,38.1,22,84.6,Cyanoramphus_auriceps,170.7679781,-43.0351268,8.421110535,16.11024475,1.512043953,Resident
Birds,Cyanoramphus_novaezelandiae,56.1,37.9,22,90.3,Cyanoramphus_novaezelandiae,171.2190451,-40.84500811,10.65001755,18.26255493,3.770658493,Resident
Birds,Cyanoramphus_unicolor,129.4,40.2,18,185.9,Cyanoramphus_unicolor,178.8017,-49.68617813,7.721799469,11.0291008,5.00773735,Resident
Birds,Neophema_elegans,42.02,40,21.2,100.4,Neophema_elegans,127.7396375,-31.99169005,18.07475128,30.45053101,7.316392517,Resident
Birds,Neophema_pulchella,40,40,28.3,94.2,Neophema_pulchella,148.835175,-32.37678572,16.60375366,28.32387695,5.02915802,Resident
Birds,Neophema_splendida,40.86,40,26,90.8,Neophema_splendida,132.7796595,-30.1961764,19.30715485,32.51827393,6.255779648,Resident
Birds,Nestor_meridionalis,369.3,39.7,15,368.5,Nestor_meridionalis,172.3915112,-41.40753121,9.72961731,17.31335754,3.001146889,Resident
Birds,Nestor_notabilis,836.9,39.5,5,763.9,Nestor_notabilis,170.311889,-43.37237047,7.563891602,15.46355591,0.383707762,Resident
Birds,Aptenodytes_patagonicus,11080,37.5,-5,3760.5,Aptenodytes_patagonicus,-14.54358535,-51.38758799,4.017121124,8.3623909,0.051437807,Short Migrants
Birds,Spheniscus_humboldti,3870,39,2,1631.9,Spheniscus_humboldti,-73.77536609,-23.48450205,19.37302704,25.98580017,12.4429657,Resident
Birds,Aegolius_acadicus,118.1,39,24,117.1,Aegolius_acadicus,-103.0356056,46.72258292,5.517686081,23.6943512,-11.73349838,Long Migrants
Birds,Aegolius_funereus,130,39.4,10,194.6,Aegolius_funereus,32.5286751,57.03995965,6.818496704,23.06345062,-3.992738724,Short Migrants
Birds,Athene_cunicularia,146.7,38,25,133.8,Athene_cunicularia,-79.7982479,3.12166111,15.97737274,28.50160828,3.607749557,Long Migrants
Birds,Bubo_virginianus,1000,39.9,20.3,746.7,Bubo_virginianus,-94.19105547,33.38647183,9.626869965,25.56358337,-5.939861298,Resident
Birds,Glaucidium_gnoma,52,39,27,71.7,Glaucidium_gnoma,-115.6211717,42.5881359,6.915952301,15.15412292,-0.452100134,Resident
Birds,Megascops_asio,141.5,39,26,85.1,Megascops_asio,-91.46580469,38.28942214,13.00196686,29.84861755,-4.092867661,Resident
Birds,Megascops_trichopsis,119,37,27,79.3,Megascops_trichopsis,-101.6123086,22.14167803,17.80600891,28.23093567,6.915388489,Resident
Birds,Micrathene_whitneyi,45,39,30,43.5,Micrathene_whitneyi,-108.0342268,30.02874358,20.27553253,34.83839417,5.122622681,Short Migrants
Birds,Otus_leucotis,221.1,38.9,20,126.7,Ptilopsis_leucotis,17.9836893,10.42722755,26.38826599,36.17538757,16.98516846,Resident
